1001,3150,127
1002,2763,122
1003,5888,207
1004,405,4
1005,2008,139
1006,4051,109
1007,689,13
1008,689,13
1009,211,3
1010,690,12
1011,422,6
1012,422,6
1013,2688,48
1014,472,33
1015,872,74
1016,1475,84
1017,1638,82
1018,1198,60
1019,975,62
1020,1740,78
1021,546,14
1022,744,20
1023,887,26
1024,293,19
1025,495,25
1026,293,19
1027,294,18
1028,1249,50
1029,197,1
1030,197,1
1031,196,2
1032,455,26
1033,457,24
1034,457,24
1035,454,4
1036,202,4
1037,134,4
1038,134,4
1039,252,4
1040,252,4
1041,378,6
1042,252,4
1044,134,4
1045,388,0
1046,388,0
1047,448,13
1048,263,20
1052,1528,39
1053,1816,81
1054,2275,72
1055,1777,76
1056,1849,84
1057,1409,75
1058,1201,59
1059,1232,57
1060,1820,59
1061,457,9
1062,163,2
1064,401,6
1065,401,6
1066,1713,78
1067,215,39
1070,129,22
1071,768,7
1074,61,2
1075,1079,27
1076,307,14
1077,2718,85
1078,1629,43
1079,1734,44
1080,1792,43
1082,1438,22
1083,3430,48
1084,1440,20
1085,1440,20
1086,3033,39
1088,405,3
1089,466,3
1090,466,3
1092,451,1
1093,451,1
1094,451,1
1095,1656,27
1096,451,1
1097,618,1
1098,114,1
1099,114,1
1100,114,1
1101,114,1
1104,332,8
1105,275,8
1114,114,1
1115,116,2
1117,452,2
1118,396,0
1119,276,0
1120,177,1
1122,1362,30
1123,102,10
1124,560,13
1125,561,12
1126,816,13
1127,302,12
1128,302,12
1129,302,12
1130,333,13
1131,334,12
1132,334,12
1133,332,14
1134,159,11
1135,159,11
1136,768,5
1137,278,1
1138,906,6
1139,768,5
1140,651,11
1142,522,17
1143,1121,24
1144,749,12
1145,965,11
1147,1219,37
1151,440,8
1152,708,12
1153,1462,42
1154,740,31
1155,1730,43
1156,780,24
1157,964,25
1158,857,4
1159,1210,14
1160,457,24
1162,584,3
1163,1760,73
1164,1695,35
1165,740,31
1166,202,3
1167,202,3
1168,202,3
1169,105,1
1170,256,1
1171,121,1
1172,97,2
1173,97,2
1174,97,2
1177,161,3
1178,161,3
1179,1578,18
1180,559,4
1181,656,6
1182,656,6
1183,689,7
1184,95,2
1185,110,6
1186,110,6
1187,152,8
1188,192,12
1189,267,13
1190,267,13
1191,242,10
1192,158,8
1193,87,3
1194,276,0
1195,2061,77
1196,90,2
1197,28,0
1199,1,9
1200,334,12
1202,232,6
1203,188,5
1204,188,5
1205,314,3
1208,83,2
1209,399,8
1210,399,8
1211,401,14
1213,317,2
1215,1157,21
1216,1386,22
1217,522,4
1218,275,8
1219,1061,59
1220,195,21
1221,307,20
1222,399,8
1223,112,4
1224,112,4
1225,159,5
1226,344,7
1227,95,2
1228,95,2
1229,33,0
1230,328,13
1231,648,14
1232,621,30
1233,622,23
1235,701,28
1236,530,22
1237,573,24
1238,450,23
1239,469,22
1240,271,13
1241,259,13
1242,259,13
1243,113,7
1246,259,13
1250,395,3
1251,309,2
1253,1677,77
1254,546,14
1255,127,4
1256,2485,90
1257,177,1
1258,579,28
1259,390,1
